,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'low_min_gpu_util'}),frozenset({'freq_user'}),0.6352599654155953,0.869134762702601,0.5509851179543235,0.8673380158528673,0.9979327177707785,-0.001141401341622439,0.9864562040038463
1,frozenset({'short_queue'}),frozenset({'freq_user'}),0.4177724417844119,0.869134762702601,0.35173952388205465,0.8419404649566784,0.9687110688550057,-0.011361028171926413,0.8279490209909253
2,"frozenset({'short_queue', 'low_min_gpu_util'})",frozenset({'freq_user'}),0.24528048310650383,0.869134762702601,0.20361792296458234,0.8301431911163063,0.9551374847036963,-0.009563871515768207,0.7704444594093752
3,"frozenset({'short_queue', 'top_vc'})",frozenset({'freq_user'}),0.1558269346211395,0.869134762702601,0.14415245809104837,0.9250804967801287,1.0643694585446826,0.008717852246430569,1.7467445948398774
4,"frozenset({'short_queue', 'low_min_gpu_util', 'top_vc'})",frozenset({'freq_user'}),0.09142468036304666,0.869134762702601,0.08457051724292408,0.9250294002352019,1.064310668415557,0.005110149370426378,1.7455540933106648
5,frozenset({'24GB_GPU'}),frozenset({'freq_user'}),0.3418659451129369,0.869134762702601,0.29715709025096093,0.8692210923576895,1.0000993282731208,2.951316912808144e-05,1.0006601191021154
6,"frozenset({'low_min_gpu_util', '24GB_GPU'})",frozenset({'freq_user'}),0.19912015840732544,0.869134762702601,0.17348648430710234,0.8712652987760979,1.0024513299489621,0.00042423268044722295,1.0165498195377123
7,"frozenset({'short_queue', '24GB_GPU'})",frozenset({'freq_user'}),0.15114101656646747,0.869134762702601,0.12940480776984348,0.8561859031359298,0.9851014363682723,-0.001957103798283122,0.9099611244723095
8,"frozenset({'24GB_GPU', 'top_vc'})",frozenset({'freq_user'}),0.14986874053632707,0.869134762702601,0.1379613120570553,0.9205476176242003,1.059154065776554,0.007705179814476992,1.6470901612291882
9,"frozenset({'low_min_gpu_util', '24GB_GPU', 'top_vc'})",frozenset({'freq_user'}),0.09801901246292928,0.869134762702601,0.09111109120068811,0.9295246800731262,1.0694828005529784,0.0059193600633767746,1.856894547384624
10,frozenset({'short_runtime'}),frozenset({'freq_user'}),0.1526104057843761,0.869134762702601,0.12928833179525315,0.8471790054599894,0.9747383740878807,-0.0033506770220982363,0.8563302293071823
11,frozenset({'low_cpu_util'}),frozenset({'low_min_gpu_util'}),0.13358002347438871,0.6352599654155953,0.11897572819883345,0.8906700650613725,1.4020560298942883,0.03411768710627887,3.336140598539201
