,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'low_min_gpu_util', 'runtime_1st'})",frozenset({'mean_util_low'}),0.10395032747668241,0.31890225873793804,0.09071686482515165,0.872694363040855,2.736557484711962,0.05756687059628929,5.350098845038891
1,"frozenset({'runtime_1st', 'mean_util_low'})",frozenset({'low_min_gpu_util'}),0.09077062296727025,0.6352599654155953,0.09071686482515165,0.9994077583654132,1.5732264156007183,0.033053922018211515,615.8635483958616
2,"frozenset({'mean_util_low', 'queue_1st'})",frozenset({'low_min_gpu_util'}),0.07647991685407353,0.6352599654155953,0.07647991685407353,1.0,1.574158697921074,0.02789528751836718,inf
3,"frozenset({'freq_user', 'mean_util_low'})",frozenset({'low_min_gpu_util'}),0.07658743313831073,0.6352599654155953,0.07656951375760454,0.9997660271408518,1.5737903875097685,0.02791658363089205,1558.8989078148823
4,"frozenset({'low_min_gpu_util', 'cpu_util_1st'})",frozenset({'mean_util_low'}),0.17873686285401977,0.31890225873793804,0.13309620019532126,0.744648854579177,2.335037881281053,0.07609661091144129,2.6672985552487
5,"frozenset({'cpu_util_1st', 'mean_util_low'})",frozenset({'low_min_gpu_util'}),0.13309620019532126,0.6352599654155953,0.13309620019532126,1.0,1.574158697921074,0.04854551266229433,inf
6,"frozenset({'cpu_util_1st', 'mean_util_low', '24GB_GPU'})",frozenset({'low_min_gpu_util'}),0.07785970916845114,0.6352599654155953,0.07785970916845114,1.0,1.574158697921074,0.028398553014832566,inf
7,"frozenset({'low_min_gpu_util', 'cpu_util_1st', 'top_vc'})",frozenset({'mean_util_low'}),0.09000904928725663,0.31890225873793804,0.06945551961724203,0.7716504081226359,2.419708192649552,0.0407514304926815,2.9826974318738775
8,"frozenset({'cpu_util_1st', 'mean_util_low', 'top_vc'})",frozenset({'low_min_gpu_util'}),0.06945551961724203,0.6352599654155953,0.06945551961724203,1.0,1.574158697921074,0.025333208627270662,inf
9,"frozenset({'mem_util_3rd', 'mean_util_low'})",frozenset({'low_min_gpu_util'}),0.07290500040318607,0.6352599654155953,0.07289604071283297,0.999877104583999,1.5739652410330416,0.02658241267808103,2967.889661413676
10,frozenset({'mean_util_low'}),frozenset({'low_min_gpu_util'}),0.31890225873793804,0.6352599654155953,0.3188395409054663,0.9998033321158654,1.5738491114606619,0.11625370304864857,1854.5988644221395
11,"frozenset({'mean_util_low', 'top_vc'})",frozenset({'low_min_gpu_util'}),0.17149743304871384,0.6352599654155953,0.17147055397765454,0.9998432683767828,1.5739119774731476,0.06252510059026521,2327.1630006602113
12,"frozenset({'mean_util_low', '24GB_GPU'})",frozenset({'low_min_gpu_util'}),0.11315192946931754,0.6352599654155953,0.11310713101755203,0.9996040858341911,1.5735354661933358,0.0412262402161655,921.2603793532634
13,"frozenset({'top_vc', 'mean_util_low', '24GB_GPU'})",frozenset({'low_min_gpu_util'}),0.05722554228525862,0.6352599654155953,0.05720762290455242,0.999686863942383,1.5736657720723437,0.02085452689153034,1164.79730044558
14,"frozenset({'queue_2nd', 'mean_util_low'})",frozenset({'low_min_gpu_util'}),0.0795799697162466,0.6352599654155953,0.0795530906451873,0.9996622382346319,1.5736270073002947,0.028999121835470362,1079.8736623929283
15,"frozenset({'runtime_3rd', 'mean_util_low'})",frozenset({'low_min_gpu_util'}),0.09326141688543244,0.6352599654155953,0.09326141688543244,1.0,1.574158697921074,0.03401617242018321,inf
16,"frozenset({'runtime_3rd', 'mean_util_low'})",frozenset({'top_vc'}),0.09326141688543244,0.4651871231330245,0.06557597369434913,0.7031415121529446,1.5115240237461922,0.02219196347410514,1.8015751570577183
17,"frozenset({'runtime_3rd', 'low_min_gpu_util', 'mean_util_low'})",frozenset({'top_vc'}),0.09326141688543244,0.4651871231330245,0.06557597369434913,0.7031415121529446,1.5115240237461922,0.02219196347410514,1.8015751570577183
18,"frozenset({'runtime_3rd', 'mean_util_low', 'top_vc'})",frozenset({'low_min_gpu_util'}),0.06557597369434913,0.6352599654155953,0.06557597369434913,1.0,1.574158697921074,0.023918182913182914,inf
19,"frozenset({'runtime_3rd', 'mean_util_low'})","frozenset({'low_min_gpu_util', 'top_vc'})",0.09326141688543244,0.3035722285437815,0.06557597369434913,0.7031415121529446,2.316224759840101,0.03726439753328775,2.345992450837469
20,"frozenset({'mean_util_low', 'cpu_util_4th'})",frozenset({'low_min_gpu_util'}),0.050362419474782955,0.6352599654155953,0.05034450009407675,0.9996441914250133,1.573598598757964,0.018351271240280423,1025.101867199237
21,"frozenset({'mem_util_4th', 'mean_util_low'})",frozenset({'low_min_gpu_util'}),0.0686312281047567,0.6352599654155953,0.06859538934334429,0.9994778067885116,1.5733366829352142,0.024996717751086715,698.4771662289534
